iso3,leader_name,dob,wiki_source,wiki_monitor
SUR,Jennifer Geerlings-Simons,1953-09-05,https://en.wikipedia.org/wiki/Jennifer_Geerlings-Simons,https://en.wikipedia.org/wiki/President_of_Suriname
SVK,Robert Fico,1964-09-15,https://en.wikipedia.org/wiki/Robert_Fico,https://en.wikipedia.org/wiki/Prime_Minister_of_Slovakia
SVN,Janez Janša,1958-09-17,https://en.wikipedia.org/wiki/Janez_Jan%C5%A1a,https://en.wikipedia.org/wiki/Prime_Minister_of_Slovenia
SWE,Ulf Kristersson,1963-12-29,https://en.wikipedia.org/wiki/Ulf_Kristersson,https://en.wikipedia.org/wiki/Prime_Minister_of_Sweden
SWZ,Mswati III,1968-04-19,https://en.wikipedia.org/wiki/Mswati_III,https://en.wikipedia.org/wiki/Ngwenyama
SYC,Patrick Herminie,1963-09-22,https://en.wikipedia.org/wiki/Patrick_Herminie,https://en.wikipedia.org/wiki/List_of_presidents_of_Seychelles
SYR,Ahmed al-Sharaa,1982-10-29,https://en.wikipedia.org/wiki/Ahmed_al-Sharaa,https://en.wikipedia.org/wiki/President_of_Syria
TCD,Mahamat Déby,1984-04-04,https://en.wikipedia.org/wiki/Mahamat_D%C3%A9by,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Chad
TGO,Faure Gnassingbé,1966-06-06,https://en.wikipedia.org/wiki/Faure_Gnassingb%C3%A9,https://en.wikipedia.org/wiki/Prime_Minister_of_Togo
THA,Anutin Charnvirakul,1966-09-13,https://en.wikipedia.org/wiki/Anutin_Charnvirakul,https://en.wikipedia.org/wiki/Prime_Minister_of_Thailand
TJK,Emomali Rahmon,1952-10-05,https://en.wikipedia.org/wiki/Emomali_Rahmon,https://en.wikipedia.org/wiki/President_of_Tajikistan
TKM,Serdar Berdimuhamedow,1981-09-22,https://en.wikipedia.org/wiki/Serdar_Berdimuhamedow,https://en.wikipedia.org/wiki/President_of_Turkmenistan
TLS,Xanana Gusmão,1946-06-20,https://en.wikipedia.org/wiki/Xanana_Gusm%C3%A3o,https://en.wikipedia.org/wiki/Prime_Minister_of_Timor-Leste
TON,Fatafehi Fakafānua,1985-03-20,https://en.wikipedia.org/wiki/Fatafehi_Fakaf%C4%81nua,https://en.wikipedia.org/wiki/Prime_Minister_of_Tonga
TTO,Kamla Persad-Bissessar,1952-04-22,https://en.wikipedia.org/wiki/Kamla_Persad-Bissessar,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Trinidad_and_Tobago
TUN,Kais Saied,1958-02-22,https://en.wikipedia.org/wiki/Kais_Saied,https://en.wikipedia.org/wiki/President_of_Tunisia
TUR,Recep Tayyip Erdoğan,1954-02-26,https://en.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,https://en.wikipedia.org/wiki/President_of_Turkey
TUV,Feleti Teo,1962-10-09,https://en.wikipedia.org/wiki/Feleti_Teo,https://en.wikipedia.org/wiki/Prime_Minister_of_Tuvalu
TWN,Lai Ching-te,1959-10-06,https://en.wikipedia.org/wiki/Lai_Ching-te,https://en.wikipedia.org/wiki/President_of_the_Republic_of_China
TZA,Samia Suluhu Hassan,1960-01-27,https://en.wikipedia.org/wiki/Samia_Suluhu_Hassan,https://en.wikipedia.org/wiki/President_of_Tanzania
UGA,Yoweri Museveni,1944-09-15,https://en.wikipedia.org/wiki/Yoweri_Museveni,https://en.wikipedia.org/wiki/President_of_Uganda
UKR,Volodymyr Zelenskyy,1978-01-25,https://en.wikipedia.org/wiki/Volodymyr_Zelenskyy,https://en.wikipedia.org/wiki/President_of_Ukraine
URY,Yamandú Orsi,1967-06-13,https://en.wikipedia.org/wiki/Yamand%C3%BA_Orsi,https://en.wikipedia.org/wiki/President_of_Uruguay
USA,Donald Trump,1946-06-14,https://en.wikipedia.org/wiki/Donald_Trump,https://en.wikipedia.org/wiki/President_of_the_United_States
UZB,Shavkat Mirziyoyev,1957-07-24,https://en.wikipedia.org/wiki/Shavkat_Mirziyoyev ,https://en.wikipedia.org/wiki/President_of_Uzbekistan
VCT,Godwin Friday,1959-10-28,https://en.wikipedia.org/wiki/Godwin_Friday,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Saint_Vincent_and_the_Grenadines
VEN,Nicolás Maduro,1961-11-23,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro,https://en.wikipedia.org/wiki/President_of_Venezuela
VNM,Lê Minh Hưng,1970-12-11,https://en.wikipedia.org/wiki/L%C3%AA_Minh_H%C6%B0ng,https://en.wikipedia.org/wiki/Prime_Minister_of_Vietnam
VUT,Jotham Napat,1972-08-07,https://en.wikipedia.org/wiki/Jotham_Napat,https://en.wikipedia.org/wiki/Prime_Minister_of_Vanuatu
WSM,Laʻauli Leuatea Schmidt,1966-04-14,https://en.wikipedia.org/wiki/La%CA%BBauli_Leuatea_Schmidt,https://en.wikipedia.org/wiki/Prime_Minister_of_Samoa
YEM,Rashad al-Alimi,1954-01-15,https://en.wikipedia.org/wiki/Rashad_al-Alimi,https://en.wikipedia.org/wiki/President_of_Yemen
ZAF,Cyril Ramaphosa,1951-11-17,https://en.wikipedia.org/wiki/Cyril_Ramaphosa,https://en.wikipedia.org/wiki/President_of_South_Africa
ZMB,Hakainde Hichilema,1962-06-04,https://en.wikipedia.org/wiki/Hakainde_Hichilema,https://en.wikipedia.org/wiki/President_of_Zambia
ZWE,Emmerson Mnangagwa,1942-09-15,https://en.wikipedia.org/wiki/Emmerson_Mnangagwa,https://en.wikipedia.org/wiki/President_of_Zimbabwe
